State,Population
Kano State,"94,01,288"
Lagos State,"91,13,605"
Kaduna State,"61,13,503"
Katsina State,"58,01,584"
Oyo State,"55,80,894"
Rivers State,"51,98,716"
Bauchi State,"46,53,066"
Jigawa State,"43,61,002"
Benue State,"42,53,641"
Anambra State,"41,77,828"
Borno State,"41,71,104"
Delta State,"41,12,445"
Imo State,"39,27,563"
Niger State,"39,54,772"
Akwa Ibom State,"39,02,051"
Ogun State,"37,51,140"
Sokoto State,"37,02,676"
Ondo State,"34,60,877"
Osun State,"34,16,959"
Kogi State,"33,14,043"
Zamfara State,"32,78,873"
Enugu State,"32,67,837"
Kebbi State,"32,56,541"
Edo State,"32,33,366"
Plateau State,"32,06,531"
Adamawa State,"31,78,950"
Cross River State,"28,82,988"
Abia State,"28,45,370"
Ekiti State,"23,98,357"
Kwara State,"23,65,353"
Gombe State,"23,65,040"
Yobe State,"23,21,339"
Taraba State,"22,94,800"
Ebonyi State,"21,76,947"
Nasarawa State,"18,69,377"
Bayelsa State,"17,04,515"
Abuja Federal Capital Territory,"14,05,201"
,
For other more formats kindly visit www.downloadexcelfiles.com,
,
Original source : en.wikipedia.org/wiki/List_of_Nigerian_states_by_population,
